# date, vza, vaa, sza, saa, lat, lon, sat_flag, b1, b2, b3, b4, b5, b6, b7, b8a, b8b, b9, b10, b11, b12
2017/01/27 10:23,4.7316815747,269.324095739,67.973049249,164.36152972,48.2493857561,11.7198614773,S2A,0.789437294006,0.789279878139,0.75005376339,0.765216469765,0.790544807911,0.783571958542,0.747393012047,0.74985986948,0.74140381813,1.05953514576,0.196315810084,0.0577567070723,0.0618408247828
2017/02/16 10:21,4.77012324176,269.720007316,61.990881463,162.705457987,48.2493857561,11.7198614773,S2A,0.0145189845935,0.0260427035391,0.0411608405411,0.0524718873203,0.0806757584214,0.119649223983,0.131815582514,0.143048703671,0.153459593654,0.256877660751,-0.148935630918,0.180604919791,0.116586714983
2017/03/28 10:20,4.75979403903,269.513337817,46.5229806095,161.518738628,48.2493857561,11.7198614773,S2A,0.0245064590126,0.0321553833783,0.0539144277573,0.0439125709236,0.0931413024664,0.22970725596,0.268449187279,0.278193533421,0.290177851915,0.382537126541,0.076473928988,0.225605741143,0.152401641011
2017/04/24 10:10,8.77399094419,105.856008708,37.1326486699,156.918490393,48.2493857561,11.7198614773,S2A,0.0253771040589,0.0250739064068,0.0433583334088,0.0250362120569,0.0788968577981,0.295476764441,0.381045758724,0.39053440094,0.402030318975,0.532911360264,0.16269993782,0.150357097387,0.0754395276308
2017/05/17 10:20,4.84934562555,271.250506522,30.197464455,158.783765932,48.2493857561,11.7198614773,S2A,-0.0026763076894,0.00207857810892,0.0172077585012,0.00588371045887,0.041113037616,0.280316799879,0.442164421082,0.459501743317,0.457037210464,0.675485253334,2.50175094604,0.118376381695,0.0514700002968
2017/05/27 10:20,4.83909018932,271.056366707,28.3725946495,157.365067323,48.2493857561,11.7198614773,S2A,-0.00997311715037,-0.00113712367602,0.014707621187,0.00424962770194,0.0378901287913,0.266237258911,0.45166477561,0.469638735056,0.484879165888,0.57126891613,0.0217789690942,0.11337018013,0.0488186217844
2017/06/03 10:10,8.78570316926,105.840195951,28.212421279,151.594928271,48.2493857561,11.7198614773,S2A,0.0318221151829,0.0307306572795,0.0415798798203,0.0232903696597,0.0611065626144,0.288224101067,0.47573825717,0.490606546402,0.510434269905,0.667843043804,3.08287549019,0.114174537361,0.0538369081914
2017/06/13 10:10,8.8005332389,105.89855066,27.5549900272,150.052540811,48.2493857561,11.7198614773,S2A,0.0232734512538,0.0273075494915,0.0418570004404,0.0255131833255,0.0708179548383,0.303848534822,0.481409490108,0.496479600668,0.521907329559,0.592731118202,-0.0921691954136,0.121336333454,0.056629948318
2017/06/26 10:20,4.75332231492,269.446772462,26.8882325045,153.325042176,48.2493857561,11.7198614773,S2A,0.0125014940277,0.0185360591859,0.0354250147939,0.02351212129,0.0642252489924,0.272329390049,0.411184251308,0.434126228094,0.465401858091,0.694476187229,-1.05355536938,0.111089453101,0.0474830977619
2017/07/06 10:20,4.76532379682,269.452042531,27.6905151035,152.93092015,48.2493857561,11.7198614773,S2A,0.016209134832,0.0223492309451,0.0463086180389,0.0370150879025,0.0899413228035,0.262570232153,0.351374745369,0.369742780924,0.40247541666,0.557748615742,0.0659562721848,0.122146785259,0.0539012290537
2017/07/08 10:10,8.76437476269,106.600277493,28.7330319805,148.399858953,48.2493857561,11.7198614773,S2B,0.0543355718255,0.0609472841024,0.0819361135364,0.0677394643426,0.13011226058,0.307457715273,0.399375706911,0.418847084045,0.457288265228,0.521158874035,0.393632501364,0.156452462077,0.0792952775955
2017/07/18 10:10,8.75994111022,106.56767541,30.2010429121,149.018606653,48.2493857561,11.7198614773,S2B,0.0259129628539,0.0554805509746,0.0886250138283,0.140474542975,0.179480612278,0.228256806731,0.267181664705,0.288814365864,0.323236465454,0.489242494106,0.519623935223,0.249444052577,0.171934992075
2017/07/21 10:20,4.86436944653,270.108396065,29.9481365739,153.696452921,48.2493857561,11.7198614773,S2B,0.0168192982674,0.0473418980837,0.0814401805401,0.132586926222,0.169517040253,0.213322967291,0.248252853751,0.260790318251,0.302740842104,0.345317006111,-0.0115888724104,0.259891271591,0.175082102418
2017/08/05 10:20,4.84076820492,271.088804622,33.285212462,155.913267507,48.2493857561,11.7198614773,S2A,0.0420395955443,0.0766213163733,0.109656438231,0.169066920877,0.196583539248,0.232849836349,0.257086277008,0.263499587774,0.296776592731,0.316383838654,1.25850272179,0.412789225578,0.290774255991
2017/08/07 10:10,8.7587018689,106.551634873,34.5236784271,152.209061847,48.2493857561,11.7198614773,S2B,0.102006189525,0.176622614264,0.16154743731,0.157202154398,0.156641677022,0.200427338481,0.20176436007,0.305229723454,0.201261162758,0.299281895161,0.771584272385,0.232914626598,0.158004596829
2017/08/22 10:10,8.75299870794,105.834782997,38.7557756507,155.706376986,48.2493857561,11.7198614773,S2A,0.0786619931459,0.087127238512,0.101514838636,0.115950785577,0.158236429095,0.215943753719,0.241565704346,0.2481918782,0.269969731569,0.380204766989,4.77157211304,0.37337204814,0.325562208891
2017/08/25 10:20,4.86430399875,271.865217905,39.0766720137,160.18841597,48.2493857561,11.7198614773,S2A,0.0540071241558,0.0666512101889,0.0947181358933,0.104228757322,0.155325129628,0.223094120622,0.248089849949,0.256017297506,0.27570015192,0.40804490447,9.55216598511,0.346461743116,0.290119588375
2017/09/21 10:10,8.75310320171,105.831899673,48.9682412981,162.907102132,48.2493857561,11.7198614773,S2A,0.0584260933101,0.0584355778992,0.108978189528,0.0439093820751,0.173133820295,0.564403772354,0.632130324841,0.654383838177,0.670523226261,0.936696946621,0.714843630791,0.25950473547,0.119645513594
2017/10/19 10:20,4.73618090996,268.023156837,58.8320198232,170.396762134,48.2493857561,11.7198614773,S2B,0.0207293219864,0.0356210693717,0.075897783041,0.0312463250011,0.121930643916,0.471078515053,0.549245119095,0.558354735374,0.574064314365,0.676158964634,0.137416899204,0.193535670638,0.0890962257981
2017/12/13 10:24,4.79431758649,270.500026075,72.0444304324,169.733692231,48.2493857561,11.7198614773,S2A,-0.00144832581282,0.00691403355449,0.0225470568985,0.0106499195099,0.0677891001105,0.192444175482,0.233437523246,0.256992965937,0.285647451878,0.490189641714,0.06403940171,0.0671491622925,0.0353020243347
2017/12/15 10:14,8.79207971931,106.590501084,72.5246291305,167.117474994,48.2493857561,11.7198614773,S2B,0.0146442586556,0.027268987149,0.0549940317869,0.029321545735,0.104056604207,0.249572008848,0.287895917892,0.321694970131,0.335637718439,0.640900075436,0.077877946198,0.113738849759,0.0589697696269
